camera_id,name,url_image,road,km,location_info,latitude,longitude
25,CCTV 119 - Max Center,http://www.bizkaimove.com/camaras/cam34.jpg,A8,124+400,Donostia,4793106.4,499186.26
26,CCTV 120 - Recta Max Center,,A8,125+500,Santander,4793739.55,498403.73
27,CCTV 121 - PK 126,,A8,126+300,Santander,4794573.32,498080.32
28,CCTV 122 - Incorporación desde Ballonti,,A8,126+600,Santander,4794704.16,498025.93
29,DOMO 123,,A8,127+300,Santander,4795180.49,497620.99
30,CCTV 124 - Nudo Portugalete,,A8,127+500,Santander,4795416.33,497419.14
31,CCTV 125 - Nudo Portugalete,http://www.bizkaimove.com/camaras/cam32.jpg,A8,127+500,Santander,4795260.11,497336.61
32,CCTV 126 - Mediana Salida Portugalete,,A8,128+200,Donostia,4795622.33,496677.38
33,CCTV 127 - NCL Santurtzi,,A8,128+700,Donostia,4795739.77,496345.53
34,CCTV 128 - Salida Santurtzi,,A8,128+900,Santander,4795875.0,496198.92
35,CCTV 130 - Salida Puerto,,A8,129+600,Santander,4796520.29,495733.22
36,CCTV 131 - Salida Puerto,,A8,129+700,Donostia,4796474.67,495685.19
37,CCTV 132 - Gasolinera Ugaldebieta,,A8,130+600,Donostia,4796950.92,494822.67
38,CCTV 133 - Gallarta,http://www.bizkaimove.com/camaras/cam31.jpg,A8,132+200,Santander,4797477.37,493482.16
39,CCTV 134 - Salida Zierbena,,A8,133+200,Donostia,4797322.61,492678.1
40,CCTV 135 - Móvil Báscula Dinámica,,A8,134+000,Donostia,4797507.46,491939.5
41,CCTV 137 - Puente La Arena,http://www.bizkaimove.com/camaras/cam30.jpg,A8,135+000,Donostia,4798598.55,491250.28
42,CCTV 138 - Radioenlace I,,A8,139+000,Donostia,4798819.76,487874.47
43,CCTV 140 - Sumigas,,A8,126+100,Santander,4794278.45,498150.23
44,CCTV 201 - Barakaldo,,N - 637,008+740,Erletxes,4792880.69,501180.95
45,CCTV 202 - Salida Barakaldo,http://www.bizkaimove.com/camaras/cam7.jpg,N - 637,008+960,Erletxes,4793092.36,501199.73
46,CCTV 203 - Puente Rontegui,http://www.bizkaimove.com/camaras/cam2.jpg,N - 637,009+580,Erletxes,4793481.92,501639.89
47,CCTV 204 - Nudo de Kukularra,,N - 637,010+440,Erletxes,4793723.29,502546.06
48,CCTV 205 - Cámara DOMO en Nudo Asua,http://www.bizkaimove.com/camaras/cam52.jpg,N - 637,012+120,Cruces,4794019.17,503797.99
49,CCTV 206 - Incorporación a N-637,,N - 637,013+300,Cruces,4793723.71,504251.92
50,CCTV 207 - Túneles de Artxanda,http://www.bizkaimove.com/camaras/cam70.jpg,N - 637,014+000,Erletxes,4792656.14,505060.71
51,CCTV 208 - DOMO ETD34,,N - 637,014+400,Erletxes,4792637.05,506150.36
52,CCTV 209 - Sondika,http://www.bizkaimove.com/camaras/cam97.jpg,N - 637,015+840,Erletxes,4792939.32,506485.86
53,CCTV 210 - ERU36,,N - 637,017+400,Erletxes,4792872.91,508220.31
54,CCTV 211 - Nudo de Derio,http://www.bizkaimove.com/camaras/cam63.jpg,N - 637,018+070,Erletxes,4792571.17,508749.0
55,CCTV 212 - Enlace Sto. Domingo,,N - 637,018+500,Cruces,4792374.91,509146.8
56,CCTV 213 - Tunel I Exterior Derio,,N - 637,019+150,Cruces,4792074.76,509731.7
57,CCTV 214 - Tunel I dir. Derio,,N - 637,019+480,Cruces,4791834.12,510045.97
58,CCTV 215 - Tunel I dir. Cruces,,N - 637,019+200,Cruces,4791834.12,510045.97
59,CCTV 216 - Tunel I Exterior Erletxes,http://www.bizkaimove.com/camaras/cam71.jpg,N - 637,019+500,Cruces,4791578.32,510528.09
60,CCTV 217 - Tunel II Exterior Derio,http://www.bizkaimove.com/camaras/cam72.jpg,N - 637,020+150,Cruces,4791578.32,510528.09
61,CCTV 218 - Tunel II Dir. Derio,,N - 637,020+400,Cruces,4791834.12,510045.97
62,CCTV 219 - Tunel II dir. Erletxes,,N - 637,020+600,Cruces,4791834.12,510045.97
